"experiment","m","n","lambda","rep","seed","design_path","objective","n_iter","elapsed_sec","k_min","k_ave","k_m2","A","B","phi_lambda","C1","C2","U2"
"distance",20,100,0.5,1,636923724,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n100_lambda050_rep01.rds",0.766905709015888,6000,1.006,53,95.959595959596,9524.45737373737,0.553191489361702,0.980619928670074,0.766905709015888,95,9356.06060606061,18045.2323232323
"distance",5,5,0.6,1,776786982,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n005_lambda060_rep01.rds",0.772419006479482,6000,0.0120000000000005,4,6,40.2,0.75,0.806047516198704,0.772419006479482,5,36.4583333333333,55.75
"distance",10,10,0.6,1,329166456,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n010_lambda060_rep01.rds",0.84781913856948,6000,0.032,19,25,678.422222222222,0.857142857142857,0.833833560709413,0.84781913856948,22,597.222222222222,1085.88888888889
"distance",20,20,0.6,1,2057931225,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n020_lambda060_rep01.rds",0.843035609792952,6000,0.132,76,100,10559.3052631579,0.797872340425532,0.910780513844083,0.843035609792952,95,9750,18820.9473684211
"distance",5,10,0.6,1,2052557521,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n010_lambda060_rep01.rds",0.811466992665037,6000,0.0199999999999996,4,5.55555555555556,33.8666666666667,0.75,0.903667481662591,0.811466992665037,5,32.4074074074074,47.5555555555556
"distance",10,20,0.6,1,190697454,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n020_lambda060_rep01.rds",0.765457050987598,6000,0.0679999999999996,15,23.6842105263158,605.368421052632,0.666666666666667,0.913642627468994,0.765457050987598,22,565.789473684211,1024.10526315789
"distance",20,40,0.6,1,1780993221,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n040_lambda060_rep01.rds",0.783475831903536,6000,0.305,64,97.4358974358974,9911.67692307692,0.670212765957447,0.95337043082267,0.783475831903536,95,9500,18328.6666666667
"distance",5,15,0.6,1,30932854,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n015_lambda060_rep01.rds",0.534518329070759,6000,0.0310000000000006,2,5.33333333333333,31.7904761904762,0.25,0.961295822676897,0.534518329070759,5,31.25,45.2142857142857
"distance",10,30,0.6,1,52228452,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n030_lambda060_rep01.rds",0.722032643446071,6000,0.103999999999999,13,23.2758620689655,579.404597701149,0.571428571428571,0.94793875147232,0.722032643446071,22,556.034482758621,1004.93103448276
"distance",20,60,0.6,1,1504055217,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n060_lambda060_rep01.rds",0.763793174539121,6000,0.496,60,96.6101694915254,9699.56836158192,0.627659574468085,0.967993574645676,0.763793174539121,95,9419.49152542373,18170.1355932203
"distance",5,20,0.6,1,1914088519,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n020_lambda060_rep01.rds",0.531989528795812,6000,0.0370000000000008,2,5.26315789473684,31.3052631578947,0.25,0.954973821989529,0.531989528795812,5,30.7017543859649,44.1052631578947
